广州市星翼电子科技有限公司（ALIENTEK）,,,,,,
探索者V3 IO资源分配表,,,,,,使用提示
引脚编号,GPIO,连接资源,,"完全
独立",连接关系说明,
34,PA0,WK_UP,,Y,"1，按键KEY_UP
2，可以做待机唤醒脚(WKUP)",只要KEY_UP不按下，该IO完全独立
35,PA1,RMII_REF_CLK,,N,接YT8512C的TXC脚,该IO直接接YT8512C的TXC引脚，接收50M时钟(一直有)，不建议做普通IO用
36,PA2,"USART2_TX
/RS485_RX",ETH_MDIO,N,"1，RS232串口2(COM2)RX脚(P4设置)
2，RS485 RX脚(P4设置)
3，YT8512C的MDIO脚","该IO通过P4选择连接RS232还是RS485，并同时连接了YT8512C的MDIO脚
这里的RS232 RX脚是指TPT3232芯片的RX脚，接STM32的TX脚
如不用YT8512C，并去掉P4跳线帽，可以做普通IO用"
37,PA3,"USART2_RX
/RS485_TX",PWM_DAC,N,"1，RS232串口2(COM2)TX脚(P4设置)
2，RS485 TX脚(P4设置)
3，PWM_DAC输出脚","该IO通过P4选择连接RS232还是RS485，并同时连接了PWM_DAC,
这里的RS232 TX脚是指TPT3232芯片的TX脚，接STM32的RX脚 
去掉P4跳线帽，可以做普通IO用"
40,PA4,STM_DAC,DCMI_HREF,Y,"1，DAC_OUT1输出脚
2，OLED/CAMERA接口的HREF引脚",该IO可做DAC输出，同时也连接在OLED/CAMERA接口，如不插外设在OLED/CAMERA接口，则可以完全独立
41,PA5,STM_ADC,,Y,ADC输入引脚，同时做TPAD检测脚,拔了P11的跳线帽，则该IO完全独立
42,PA6,DCMI_PCLK,,Y,OLED/CAMERA接口的PCLK脚,仅连接OLED/CAMERA接口的PCLK，当不使用OLED/CAMERA接口时，该IO完全独立
43,PA7,RMII_CRS_DV,,N,接YT8512C的CRS_DV脚,该IO直接接YT8512C的CRS_DV引脚，当YT8512C处于复位状态时，可以做普通IO用
100,PA8,DCMI_XCLK,REMOTE_IN,N,"1，OLED/CAMERA接口的XCLK脚
2，接LF0038红外接收头",同时连接了XCLK脚LF0038红外头，LF0038红外接收头，有4.7K上拉电阻，且受LF0038控制，不建议做普通IO使用
101,PA9,USART1_TX,,Y,串口1 TX脚，默认连接CH340的RX(P10设置),该IO通过P10选择是否连接CH340的RXD，如果不连接，则该IO完全独立
102,PA10,USART1_RX,,Y,串口1 RX脚，默认连接CH340的TX(P10设置),该IO通过P10选择是否连接CH340的TXD，如果不连接，则该IO完全独立
